Model,RMSE,MAE,MAPE (%),R2,Accuracy (+-25pct)
Student_ModelA,145877.64747333943,54090.76366484867,1135.3754488194518,-2374.2646480243334,5.88235294117647
Student_ModelB,4224.838751659476,3095.533832049085,99.11573192843667,-0.9923002025022583,23.52941176470588
ChatGPT_ModelA,88551.20451927127,34607.5430716172,895.7936689087454,-874.2325267980058,11.76470588235294
ChatGPT_ModelB,4051.917977056893,2851.596412460891,97.96217836875155,-0.8325498349816005,17.647058823529413
Claude_ModelA,125684.86090495918,42376.468076013814,909.9803352495106,-1762.1953864247898,5.88235294117647
Claude_ModelB,4301.3647463424395,3116.707506563712,99.64362670739092,-1.0651283361075188,23.52941176470588
Gemini_ModelA,93078.78113621732,27093.70499693476,628.9918928919584,-966.0209395833784,5.88235294117647
Gemini_ModelB,3744.23859808226,2719.0938673221344,94.97642868895197,-0.5648097196297417,17.647058823529413
LinearRegression,1816.2389877420135,1558.8335630313031,86.97187558026638,0.6318027917289853,29.411764705882355
DecisionTree,1631.8399449141227,1333.6323529411766,76.23744505657598,0.7027720660618857,47.05882352941176
